latitude,longitude,value
38.1971,143.1679,5
38.0621,142.5166,7
37.1864,142.1425,5
37.3048,141.2119,5
37.4134,141.5603,5
39.0269,142.2388,5
35.1078,139.0154,5
39.4924,142.4601,5
37.1365,141.3872,5
36.0725,141.1515,6.5
36.0104,141.0176,5
39.0135,142.1867,5.5
37.2188,141.1559,5
37.2544,141.1639,5.5
39.1381,142.3472,5
36.5916,138.3587,6.5
36.5693,138.3435,6
36.5839,138.3543,6
37.1185,141.2558,5
36.5806,138.3409,5
38.0072,141.5690,5
36.2750,141.0752,5
35.1857,138.4287,6.5
35.5022,140.5439,5
36.4702,140.3429,5.5
37.0509,140.4727,5.5
37.0589,140.4775,5.5
37.0380,140.4624,5
37.0666,140.4564,5.5
36.1067,140.0255,5
39.0460,142.2146,5
38.2302,142.2078,5
38.5234,142.0506,5
40.1541,140.2184,5.5
36.1242,139.5773,5
38.1225,141.5521,6.5
38.1484,141.4887,5
36.5674,140.4036,6
36.5348,140.4291,5
37.0376,140.3739,5
36.5795,140.3809,5
36.4912,138.3634,5
35.2890,140.5208,5
37.0315,140.3861,6
36.5491,140.4241,5
36.2045,139.5673,5.5
37.0137,138.4132,5
39.3616,140.2323,5
35.4051,140.4113,5
37.1017,141.1169,5
37.0590,140.4855,5
37.0674,140.4989,5
37.0105,138.4230,5.5
36.5942,141.1267,5
39.5687,142.3545,5
36.1131,137.5728,5.5
33.5943,135.1405,5.5
36.0982,140.0500,5
38.5242,142.0547,5.5
37.4252,141.3760,5
36.5419,141.1328,5.5
34.4242,138.3293,5
36.5813,141.0966,5
37.3894,141.4780,5
42.1564,142.3535,5.5
36.4423,140.3463,5
37.0795,140.5217,5.5
32.5484,130.5102,5.5
36.4264,140.3529,5.5
34.5230,132.5362,5
41.4502,142.5324,5
